Customer_ID, FirstName, LastName, Phone
0001, Bryan, Passino, (111)230-9087
0002, Barry, French, (234)984-0987
0003, Clay, Rozendal, (245)983-0925
0004, Carlos, Soltero, (554)283-7987
0005, Carl, Jackson, (554)283-1987
0006, Monica, Federle, (554)283-0987
0007, Dorothy, Badders, (523)283-0787
0008, Neola, Schneider, (112)230-9087
0009, Carlos, Daly, (123)237-9087
0010, Claudia, Miner, (111)230-8567
0011, Allen, Rosenblatt, (111)230-1111
0012, Sylvia, Foulston, (123)230-9040
0013, Jim, Radford, (121)220-3906
0014, Carl, Ludwig, (131)230-9287
0015, Don, Miller, (112)230-1087
0016, Annie, Cyprus, (111)230-1190
0017, Grant, Carroll, (607)240-9087
0018, Alan, Barnes, (607)241-9082
0019, Jack, Garza, (607)210-9887
0020, Julia, West, (607)289-9087
0021, Eugene, Barchas, (607)240-9890
